constructorId,name,nationality,constructor_is_active
1,McLaren,British,1
2,BMW Sauber,German,0
3,Williams,British,1
4,Renault,French,0
5,Toro Rosso,Italian,0
6,Ferrari,Italian,1
7,Toyota,Japanese,0
8,Super Aguri,Japanese,0
9,Red Bull,Austrian,1
10,Force India,Indian,0
11,Honda,Japanese,0
12,Spyker,Dutch,0
13,MF1,Russian,0
14,Spyker MF1,Dutch,0
15,Sauber,Swiss,0
16,BAR,British,0
17,Jordan,Irish,0
18,Minardi,Italian,0
19,Jaguar,British,0
20,Prost,French,0
21,Arrows,British,0
22,Benetton,Italian,0
23,Brawn,British,0
24,Stewart,British,0
25,Tyrrell,British,0
26,Lola,British,0
27,Ligier,French,0
28,Forti,Italian,0
29,Footwork,British,0
30,Pacific,British,0
31,Simtek,British,0
32,Team Lotus,British,0
33,Larrousse,French,0
34,Brabham,British,0
35,Dallara,Italian,0
36,Fondmetal,Italian,0
37,March,British,0
38,Andrea Moda,Italian,0
39,AGS,French,0
40,Lambo,Italian,0
41,Leyton House,British,0
42,Coloni,Italian,0
44,Euro Brun,Italian,0
45,Osella,Italian,0
46,Onyx,British,0
47,Life,Italian,0
48,Rial,German,0
49,Zakspeed,German,0
50,RAM,British,0
51,Alfa Romeo,Swiss,1
52,Spirit,British,0
53,Toleman,British,0
54,ATS,Italian,0
55,Theodore,Hong Kong,0
56,Fittipaldi,Brazilian,0
57,Ensign,British,0
58,Shadow,British,0
59,Wolf,Canadian,0
60,Merzario,Italian,0
61,Kauhsen,German,0
62,Rebaque,Mexican,0
63,Surtees,British,0
64,Hesketh,British,0
65,Martini,French,0
66,BRM,British,0
67,Penske,American,0
68,LEC,British,0
69,McGuire,Australian,0
70,Boro,Dutch,0
71,Apollon,Swiss,0
72,Kojima,Japanese,0
73,Parnelli,American,0
74,Maki,Japanese,0
75,Embassy Hill,British,0
76,Lyncar,British,0
77,Trojan,British,0
78,Amon,New Zealander,0
79,Token,British,0
80,Iso Marlboro,British,0
81,Tecno,Italian,0
82,Matra,French,0
83,Politoys,British,0
84,Connew,British,0
85,Bellasi,Swiss,0
86,De Tomaso,Italian,0
87,Cooper,British,0
88,Eagle,American,0
89,LDS,South African,0
90,Protos,British,0
91,Shannon,British,0
92,Scirocco,British,0
93,RE,Rhodesian,0
94,BRP,British,0
95,Porsche,German,0
96,Derrington,British,0
97,Gilby,British,0
98,Stebro,Canadian,0
99,Emeryson,British,0
100,ENB,Belgian,0
101,JBW,British,0
102,Ferguson,British,0
103,MBM,Swiss,0
104,Behra-Porsche,Italian,0
105,Maserati,Italian,0
106,Scarab,American,0
107,Watson,American,0
108,Epperly,American,0
109,Phillips,American,0
110,Lesovsky,American,0
111,Trevis,American,0
112,Meskowski,American,0
113,Kurtis Kraft,American,0
114,Kuzma,American,0
115,Christensen,American,0
116,Ewing,American,0
117,Aston Martin,British,1
118,Vanwall,British,0
119,Moore,American,0
120,Dunn,American,0
121,Elder,American,0
122,Sutton,American,0
123,Fry,British,0
124,Tec-Mec,Italian,0
125,Connaught,British,0
126,Alta,British,0
127,OSCA,Italian,0
128,Gordini,French,0
129,Stevens,American,0
130,Bugatti,French,0
131,Mercedes,German,1
132,Lancia,Italian,0
133,HWM,British,0
134,Schroeder,American,0
135,Pawl,American,0
136,Pankratz,American,0
137,Arzani-Volpini,Italian,0
138,Nichels,American,0
139,Bromme,American,0
140,Klenk,German,0
141,Simca,French,0
142,Turner,American,0
143,Del Roy,American,0
144,Veritas,German,0
145,BMW,German,0
146,EMW,East German,0
147,AFM,German,0
148,Frazer Nash,British,0
149,Sherman,American,0
150,Deidt,American,0
151,ERA,British,0
152,Aston Butterworth,British,0
153,Cisitalia,Italian,0
154,Talbot-Lago,French,0
155,Hall,American,0
156,Marchese,American,0
157,Langley,American,0
158,Rae,American,0
159,Olson,American,0
160,Wetteroth,American,0
161,Adams,American,0
162,Snowberger,American,0
163,Milano,Italian,0
164,HRT,Spanish,0
167,Cooper-Maserati,British,0
166,Virgin,British,0
168,Cooper-OSCA,British,0
169,Cooper-Borgward,British,0
170,Cooper-Climax,British,0
171,Cooper-Castellotti,British,0
172,Lotus-Climax,British,0
173,Lotus-Maserati,British,0
174,De Tomaso-Osca,Italian,0
175,De Tomaso-Alfa Romeo,Italian,0
176,Lotus-BRM,British,0
177,Lotus-Borgward,British,0
178,Cooper-Alfa Romeo,British,0
179,De Tomaso-Ferrari,Italian,0
180,Lotus-Ford,British,0
181,Brabham-BRM,British,0
182,Brabham-Ford,British,0
183,Brabham-Climax,British,0
184,LDS-Climax,South African,0
185,LDS-Alfa Romeo,South African,0
186,Cooper-Ford,British,0
187,McLaren-Ford,British,0
188,McLaren-Serenissima,British,0
189,Eagle-Climax,American,0
190,Eagle-Weslake,American,0
191,Brabham-Repco,British,0
192,Cooper-Ferrari,British,0
193,Cooper-ATS,British,0
194,McLaren-BRM,British,0
195,Cooper-BRM,British,0
196,Matra-Ford,French,0
197,BRM-Ford,British,0
198,McLaren-Alfa Romeo,British,0
199,March-Alfa Romeo,British,0
200,March-Ford,British,0
201,Lotus-Pratt &amp; Whitney,British,0
202,Shadow-Ford,British,0
203,Shadow-Matra,British,0
204,Brabham-Alfa Romeo,British,0
205,Lotus,Malaysian,0
206,Marussia,Russian,0
207,Caterham,Malaysian,0
208,Lotus F1,British,0
209,Manor Marussia,British,0
210,Haas F1 Team,American,1
211,Racing Point,British,0
213,AlphaTauri,Italian,1
214,Alpine F1 Team,French,1
